Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
11500.0,2018,Hyundai,Kona,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
28000.0,2017,BMW,750,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
7400.0,2017,Ford,Focus,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
15500.0,2019,Mazda,CX5,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կարմիր,Մաքսազերծված չէ
17000.0,2016,Mercedes-Benz,C 300,34204.62344983089, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
11900.0,2019,Hyundai,Sonata,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
11500.0,2017,Toyota,Corolla,78128.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
11900.0,2019,Hyundai,Sonata,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
9950.0,2020,Kia,Forte,21441.624100719426, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
17900.0,2021,Nissan,Leaf,16736.334685598376, Հետչբեք, Ավտոմատ, Ձախ, Էլեկտրական, Սպիտակ,Մաքսազերծված չէ
10000.0,2017,Hyundai,Veloster,33723.21639344262, Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
14500.0,2019,Toyota,Corolla,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
10650.0,2018,Nissan,Leaf,28601.52, Հետչբեք, Ավտոմատ, Ձախ, Էլեկտրական, Արծաթագույն,Մաքսազերծված չէ
15900.0,2020,Kia,Sportage,21441.624100719426, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
7600.0,2017,Ford,Focus,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
15000.0,2017,Toyota,Rav 4,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
15500.0,2016,BMW,428,34204.62344983089, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
16200.0,2019,Hyundai,Santa Fe,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
5900.0,2014,Chevrolet,Volt,129434.55172413793, Հետչբեք, Ավտոմատ, Ձախ, Էլեկտրական, Մոխրագույն,Մաքսազերծված չէ
20000.0,2021,Toyota,Camry,16736.334685598376, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
14500.0,2020,Kia,Optima,21441.624100719426, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
12500.0,2018,Ford,Edge,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
10400.0,2017,BMW,320,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
16800.0,2018,Kia,Sorento,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
12500.0,2018,Ford,Edge,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
32000.0,2017,Mercedes-Benz,SLC 300,33723.21639344262, Կուպե, Ավտոմատ, Ձախ, Բենզին, Երկնագույն,Մաքսազերծված չէ
12900.0,2019,Hyundai,Kona,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
26000.0,2020,Mercedes-Benz,A 220,21441.624100719426, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
10500.0,2017,BMW,320,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
9500.0,2016,Hyundai,Sonata,34204.62344983089, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
14800.0,2020,Chevrolet,Blazer,21441.624100719426, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
